"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\mahta\LogicalDisk(_Total)\Disk Write Bytes/sec"
"04/01/2025 23:19:20.003","172005.15458674164256"
"04/01/2025 23:19:21.004","200660.57705112613621"
"04/01/2025 23:19:22.005","282225.27213552693138"
"04/01/2025 23:19:23.007","58233.689817804217455"
"04/01/2025 23:19:24.008","431041.36968898418127"
"04/01/2025 23:19:27.003","1516795.7657400150783"
"04/01/2025 23:19:28.004","192390.96684275919688"
"04/01/2025 23:19:29.005","487603.22740851476556"
"04/01/2025 23:19:30.006","32753.130078944159322"
"04/01/2025 23:19:31.007","147253.02642837114399"
"04/01/2025 23:19:33.010","104301.90432261531532"
"04/01/2025 23:19:34.011","91012.532398548122728"
"04/01/2025 23:19:35.012","55505471.737834811211"
"04/01/2025 23:19:36.012","581486.62834291427862"
"04/01/2025 23:19:37.013","143267.16287845475017"
"04/01/2025 23:19:40.005","20155507.316596690565"
"04/01/2025 23:19:41.006","18786605.047468688339"
"04/01/2025 23:19:42.007","7828659.4011539062485"
"04/01/2025 23:19:43.008","7998661.7382424399257"
"04/01/2025 23:19:44.008","7841701.8470316091552"
"04/01/2025 23:19:47.006","7913680.5852844063193"
"04/01/2025 23:19:48.006","11410219.132246064022"
"04/01/2025 23:19:49.007","104095303.79563687742"
"04/01/2025 23:19:50.007","2474309.5024274643511"
"04/01/2025 23:19:51.008","171831.71295537921833"
"04/01/2025 23:19:54.003","98482.055556446051924"
"04/01/2025 23:19:55.003","524947.94859764759894"
"04/01/2025 23:19:56.004","566074.32684506569058"
"04/01/2025 23:19:57.005","36815.297043541104358"
"04/01/2025 23:19:58.005","208867.80284661569749"
"04/01/2025 23:20:01.063","157065.34886697039474"
"04/01/2025 23:20:02.064","159546.97544002911309"
"04/01/2025 23:20:03.065","241486.0489305430965"
"04/01/2025 23:20:04.065","36317721.182798795402"
"04/01/2025 23:20:06.067","1444527.3869219636545"
"04/01/2025 23:20:07.068","77777.776667326616007"
"04/01/2025 23:20:08.069","94098.770147612638539"
"04/01/2025 23:20:09.070","122759.56059510014893"
"04/01/2025 23:20:10.071","229179.52439373722882"
"04/01/2025 23:20:13.066","135736.29346509321476"
"04/01/2025 23:20:14.067","225056.65377679193625"
"04/01/2025 23:20:15.068","167748.390200399881"
"04/01/2025 23:20:16.069","213900.53649040247547"
"04/01/2025 23:20:17.069","135120.19447519467212"
"04/01/2025 23:20:19.071","63429.15360274505656"
"04/01/2025 23:20:20.071","47084780.74434967339"
"04/01/2025 23:20:21.072","1441272.1093165001366"
"04/01/2025 23:20:22.074","122688.97326862075715"
"04/01/2025 23:20:23.074","69608.479294846285484"
"04/01/2025 23:20:25.077","3953716.5215343493037"
"04/01/2025 23:20:26.077","9223131.3472637441009"
"04/01/2025 23:20:27.077","8585162.7719908133149"
"04/01/2025 23:20:28.077","8093523.7771857324988"
"04/01/2025 23:20:29.079","8938704.0028447769582"
"04/01/2025 23:20:31.088","6518248.7052889065817"
"04/01/2025 23:20:32.089","39738274.016653440893"
"04/01/2025 23:20:33.089","90026.106092177462415"
"04/01/2025 23:20:34.091","122691.79079292366805"
"04/01/2025 23:20:35.092","36844.428239719061821"
"04/01/2025 23:20:38.090","26435747.917003333569"
"04/01/2025 23:20:39.091","552379.61473879392724"
"04/01/2025 23:20:40.094","363721.2262141808751"
"04/01/2025 23:20:41.095","220885.51740033691749"
"04/01/2025 23:20:44.092","246316.13742624482256"
"04/01/2025 23:20:45.094","364055.51031625759788"
"04/01/2025 23:20:46.095","212614.80008317244938"
"04/01/2025 23:20:47.097","610279.4179041570751"
"04/01/2025 23:20:49.098","171978.58345197982271"
"04/01/2025 23:20:50.100","44975.579166891686327"
"04/01/2025 23:20:51.100","225189.78897053838591"
"04/01/2025 23:20:52.101","115648.91351767610468"
"04/01/2025 23:20:53.101","45040.312459170469083"
"04/01/2025 23:20:56.004","378165.14898627490038"
"04/01/2025 23:20:57.005","217715.25748628276051"
"04/01/2025 23:20:58.006","196521.88411038281629"
"04/01/2025 23:20:59.006","69590.677055964159081"
"04/01/2025 23:21:00.009","200294.47791046425118"
"04/01/2025 23:21:02.010","92595.761279950165772"
"04/01/2025 23:21:03.011","91612764.687099650502"
"04/01/2025 23:21:04.013","175662253.72209581733"
"04/01/2025 23:21:05.015","110403.72852175185108"
"04/01/2025 23:21:06.017","572125.48448684311006"
"04/01/2025 23:21:09.004","591363.71942068054341"
