"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\mahta\Processor(_Total)\% Processor Time"
"04/01/2025 23:18:19.743"," "
"04/01/2025 23:18:20.745","1.361325438363081286"
"04/01/2025 23:18:21.747","1.0484587420130697666"
"04/01/2025 23:18:22.750","1.1381012373713583763"
"04/01/2025 23:18:23.751","1.2978338342441220199"
"04/01/2025 23:18:24.753","1.2244906919827380776"
"04/01/2025 23:18:25.755","1.2120485718352225213"
"04/01/2025 23:18:26.756","1.2550400176351894643"
"04/01/2025 23:18:27.758","2.0371285522460369499"
"04/01/2025 23:18:28.759","2.081354466326346131"
"04/01/2025 23:18:29.761","0.87921798133435702383"
"04/01/2025 23:18:30.762","0.82643249647712524464"
"04/01/2025 23:18:31.764","0.45108204868002932386"
"04/01/2025 23:18:32.766","1.6628215323399753167"
"04/01/2025 23:18:33.768","1.8425265739901997009"
"04/01/2025 23:18:34.769","1.1256578730675537159"
"04/01/2025 23:18:35.770","1.8857140800224603261"
"04/01/2025 23:18:36.771","2.7698675442160536342"
"04/01/2025 23:18:37.773","3.0802368036048188848"
"04/01/2025 23:18:38.774","3.0081840808939608323"
"04/01/2025 23:18:39.775","1.8691845401000217741"
"04/01/2025 23:18:40.776","1.6739132129860778697"
"04/01/2025 23:18:41.777","3.1315181101195688207"
"04/01/2025 23:18:42.780","2.3763221846183846253"
"04/01/2025 23:18:43.781","2.3970033937317003492"
"04/01/2025 23:18:44.782","3.9849055653608522753"
"04/01/2025 23:18:45.783","2.6009930303268591345"
"04/01/2025 23:18:46.784","2.8488248243981550978"
"04/01/2025 23:18:47.786","2.1396908932810543291"
"04/01/2025 23:18:48.786","1.9611493818656233756"
"04/01/2025 23:18:49.788","2.2101858020194597998"
"04/01/2025 23:18:50.789","2.0385759858188801097"
"04/01/2025 23:18:51.790","1.9810467055692448923"
"04/01/2025 23:18:52.792","2.2226784401498722588"
"04/01/2025 23:18:53.794","1.7796412737053235453"
"04/01/2025 23:18:54.794","2.097843047159320129"
"04/01/2025 23:18:55.796","1.6027198492769456628"
"04/01/2025 23:18:56.798","3.0805240212328000027"
"04/01/2025 23:18:57.800","2.2936834249555060339"
"04/01/2025 23:18:58.801","2.8477951991050409752"
"04/01/2025 23:18:59.803","2.68947332648600268"
"04/01/2025 23:19:00.805","3.3754791578261889029"
"04/01/2025 23:19:01.806","3.3378863188942009543"
"04/01/2025 23:19:02.817","3.2545235619590773268"
"04/01/2025 23:19:03.818","5.3290882472086682498"
"04/01/2025 23:19:04.833","5.2347869169200089701"
"04/01/2025 23:19:05.834","5.1322456495645045749"
"04/01/2025 23:19:06.840","5.2892071381307470546"
"04/01/2025 23:19:07.855","3.5747412697741398624"
"04/01/2025 23:19:08.866","4.9050324692981872587"
"04/01/2025 23:19:09.867","5.0495788214430454843"
"04/01/2025 23:19:10.876","3.9461261460280616653"
"04/01/2025 23:19:11.877","5.5146886623175124242"
"04/01/2025 23:19:12.878","6.3498310800686468269"
"04/01/2025 23:19:13.880","5.1164126732911370254"
"04/01/2025 23:19:14.881","4.6716876697249665185"
"04/01/2025 23:19:15.882","6.668403362704344417"
"04/01/2025 23:19:16.884","4.4721258850638490046"
"04/01/2025 23:19:17.885","7.0098532885086832778"
"04/01/2025 23:19:18.885","6.4456737930635998879"
"04/01/2025 23:19:19.886","7.3965897427857534296"
"04/01/2025 23:19:20.888","4.6998074505621882935"
"04/01/2025 23:19:21.889","6.6753461037148076329"
"04/01/2025 23:19:22.890","3.457170344198801093"
"04/01/2025 23:19:23.890","5.5582507866052903722"
"04/01/2025 23:19:24.891","5.1396938247383676668"
"04/01/2025 23:19:25.893","3.5870591597941481332"
"04/01/2025 23:19:26.895","5.1717813181421874447"
"04/01/2025 23:19:27.895","4.9292569967313575319"
"04/01/2025 23:19:28.897","6.1051773742450743399"
"04/01/2025 23:19:29.912","5.2361689078988753465"
"04/01/2025 23:19:30.913","6.1448397845845885712"
"04/01/2025 23:19:31.915","6.2683345999740902599"
"04/01/2025 23:19:32.917","5.9594662155748601151"
"04/01/2025 23:19:33.917","6.9795199102014704451"
"04/01/2025 23:19:34.920","6.0593227315658637622"
"04/01/2025 23:19:35.921","6.1883559989347585173"
"04/01/2025 23:19:36.923","5.8704353012520194"
"04/01/2025 23:19:37.924","5.5551670221747118106"
"04/01/2025 23:19:38.925","5.6678079487528565394"
"04/01/2025 23:19:39.926","5.3702493959173374094"
"04/01/2025 23:19:40.927","4.039510332001949422"
"04/01/2025 23:19:41.928","2.8305346527684460689"
"04/01/2025 23:19:42.929","3.5111373320903527251"
"04/01/2025 23:19:43.931","5.6033716812419864794"
"04/01/2025 23:19:44.932","1.8755854053878029397"
"04/01/2025 23:19:45.932","3.0545193038788553963"
"04/01/2025 23:19:46.934","4.0846716937153466631"
"04/01/2025 23:19:47.936","4.8499496809097824013"
"04/01/2025 23:19:48.938","4.4579252753633173967"
"04/01/2025 23:19:49.939","5.6507490903264567805"
"04/01/2025 23:19:50.940","7.5161306840180630573"
"04/01/2025 23:19:51.943","6.9294338406149957876"
"04/01/2025 23:19:52.944","6.0134233977088165091"
"04/01/2025 23:19:53.945","1.7429408879533814236"
"04/01/2025 23:19:54.947","1.4894594220369095083"
"04/01/2025 23:19:55.947","1.5017452423137789275"
"04/01/2025 23:19:56.948","1.6624994043557106416"
"04/01/2025 23:19:57.948","1.3354014473731856683"
"04/01/2025 23:19:58.950","4.7336909068229964248"
"04/01/2025 23:19:59.952","3.2500396487579408245"
"04/01/2025 23:20:00.953","4.1002556610847058494"
