"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\mahta\LogicalDisk(_Total)\Disk Write Bytes/sec"
"04/01/2025 23:28:25.599"," "
"04/01/2025 23:28:26.600","180037.17542306351243"
"04/01/2025 23:28:27.601","396836.07449585717404"
"04/01/2025 23:28:28.602","646738.56559244659729"
"04/01/2025 23:28:29.603","576854.38885412993841"
"04/01/2025 23:28:31.606","233160.46264783310471"
"04/01/2025 23:28:32.607","179946.5404293120373"
"04/01/2025 23:28:33.609","53167.918481183645781"
"04/01/2025 23:28:34.609","229296.89257206264301"
"04/01/2025 23:28:35.610","417382.42262867442332"
"04/01/2025 23:28:37.612","128899.36076311010402"
"04/01/2025 23:28:38.613","18269739.95401756838"
"04/01/2025 23:28:39.615","691096.06211701885331"
"04/01/2025 23:28:40.616","184101.1773406129214"
"04/01/2025 23:28:41.617","134993.31864567252342"
"04/01/2025 23:28:43.620","151329.68912019795971"
"04/01/2025 23:28:44.620","212958.52292019693414"
"04/01/2025 23:28:45.621","102374.67250602201966"
"04/01/2025 23:28:46.622","151360.19635917365667"
"04/01/2025 23:28:47.623","179956.42279494620743"
"04/01/2025 23:28:49.625","175970.84923309239093"
"04/01/2025 23:28:50.625","94170.793119638430653"
"04/01/2025 23:28:51.627","24540.872195539304812"
"04/01/2025 23:28:52.627","102365.18560037729912"
"04/01/2025 23:28:53.629","77717.193261300999438"
"04/01/2025 23:28:55.631","1190467.2015667068772"
"04/01/2025 23:28:56.632","73655.28014191587863"
"04/01/2025 23:28:57.632","73721.460906417603837"
"04/01/2025 23:28:58.632","83998886.424944087863"
"04/01/2025 23:28:59.633","495052.2839642498875"
"04/01/2025 23:29:02.003","3199693.9784848038107"
"04/01/2025 23:29:03.004","196273.06002307063318"
"04/01/2025 23:29:04.006","451291370.97642624378"
"04/01/2025 23:29:05.007","126863.33267425198574"
"04/01/2025 23:29:06.008","122838.37007638110663"
"04/01/2025 23:29:08.022","203383.55556561882258"
"04/01/2025 23:29:09.023","249611.08160672747181"
"04/01/2025 23:29:10.023","196546.52024846628774"
"04/01/2025 23:29:11.035","149767.53479961605626"
"04/01/2025 23:29:12.046","36451.781385029258672"
"04/01/2025 23:29:15.012","156036.76961598166963"
"04/01/2025 23:29:16.013","147411.39331238367595"
"04/01/2025 23:29:17.023","121589.35333224885107"
"04/01/2025 23:29:18.030","223782.58123591798358"
"04/01/2025 23:29:19.032","261685.21348372034845"
"04/01/2025 23:29:22.005","122606.37838104719413"
"04/01/2025 23:29:23.007","98084.643503269297071"
"04/01/2025 23:29:24.008","77770.276293136688764"
"04/01/2025 23:29:25.009","122737.72243215664639"
"04/01/2025 23:29:26.010","126838.57040896188118"
"04/01/2025 23:29:29.006","124405.45144303728011"
"04/01/2025 23:29:30.008","417147.7570040829014"
"04/01/2025 23:29:31.010","24533.338976853148779"
"04/01/2025 23:29:32.011","81807.784262327360921"
"04/01/2025 23:29:35.005","113288029.33765204251"
"04/01/2025 23:29:36.006","298723.91355820617173"
"04/01/2025 23:29:37.006","245678.77859579620417"
"04/01/2025 23:29:38.010","134596.15477681523771"
"04/01/2025 23:29:39.011","65468.345012264318939"
"04/01/2025 23:29:42.452","227351.9307547469507"
"04/01/2025 23:29:43.454","114502.90605236636475"
"04/01/2025 23:29:44.455","216822.67409371153917"
"04/01/2025 23:29:45.457","151288.56122833309928"
"04/01/2025 23:29:49.007","202381096.61604946852"
"04/01/2025 23:29:50.007","94168.053911530718324"
"04/01/2025 23:29:51.008","245603.37872538683587"
"04/01/2025 23:29:52.009","200554.48663021717221"
"04/01/2025 23:29:55.002","162842.89788355416385"
"04/01/2025 23:29:56.003","241503.52091035505873"
"04/01/2025 23:29:57.003","32760.409413138975651"
"04/01/2025 23:29:58.004","81805.366140427417122"
"04/01/2025 23:29:59.005","94128.461450074682944"
"04/01/2025 23:30:02.461","253650.15063139944687"
"04/01/2025 23:30:03.463","163502.44919363973895"
"04/01/2025 23:30:04.466","339765733.10989528894"
"04/01/2025 23:30:05.466","204710.86888768631616"
"04/01/2025 23:30:08.467","75072.403147335862741"
